goos: darwin
goarch: arm64
pkg: experiments/go-runtime-boundary
cpu: Apple M1 Pro
BenchmarkAtomicParallel-2       14314066	        22.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkAtomicParallel-4        7788175	        46.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkAtomicParallel-8        7631270	        39.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkAtomicParallel-16       6888085	        50.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexParallel-2        12479632	        28.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexParallel-4         3606721	        94.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexParallel-8         3035894	        99.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMutexParallel-16        2891098	       127.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpinParallel-2           6155650	        39.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpinParallel-4           1999468	       137.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpinParallel-8           1000000	       250.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSpinParallel-16          1000000	       572.8 ns/op	       0 B/op	       0 allocs/op
PASS
