BenchmarkErrorReturn-8             	1000000000	        1.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkSentinelCompare-8         	530228158	        2.083 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrorsIsDepths/depth=0-8  	250374909	        4.845 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrorsIsDepths/depth=1-8  	151007059	        7.836 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrorsIsDepths/depth=3-8  	79349554	       14.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrorsIsDepths/depth=10-8 	31661154	       38.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkErrorsNew-8               	75796257	       14.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkErrorsJoin-8              	 7194387	      147.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkFmtErrorfWrap-8           	 9111518	      141.8 ns/op	      71 B/op	       3 allocs/op
BenchmarkDirectArea-8              	537399856	        2.088 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceDispatch-8       	573470307	        2.071 ns/op	       0 B/op	       0 allocs/op
BenchmarkInterfaceBoxInt-8         	139394671	        8.302 ns/op	       8 B/op	       0 allocs/op
BenchmarkInterfaceBoxBigValue-8    	98190632	       12.10 ns/op	      32 B/op	       1 allocs/op
BenchmarkTypeAssertion-8           	1000000000	        0.3130 ns/op	       0 B/op	       0 allocs/op
BenchmarkSyncPool256-8             	135596884	        9.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkAllocate256-8             	12631224	       98.99 ns/op	     256 B/op	       1 allocs/op
BenchmarkMapLookup-8               	135185425	       10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSliceLookup-8             	 3170806	      379.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookupSizes/n=8-8      	126858206	        9.160 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookupSizes/n=64-8     	156906987	        7.771 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookupSizes/n=1024-8   	137803005	        8.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookupSizes/n=65536-8  	135804996	        9.342 ns/op	       0 B/op	       0 allocs/op
BenchmarkSliceLookupSizes/n=8-8    	 67823593	       17.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSliceLookupSizes/n=64-8   	  8741470	      133.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkSliceLookupSizes/n=1024-8 	  3065551	      393.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapInsertNoHint-8         	       16	  12673154 ns/op	 9309402 B/op	  200282 allocs/op
BenchmarkMapInsertHint-8           	       25	   9454828 ns/op	 5814106 B/op	  200005 allocs/op
PASS
