t_s,group_state,rate_msg_per_s,total_consumed
0.0,PreparingRebalance,0.0,0
0.5,Stable,200.0,100
1.0,Stable,200.0,200
1.5,Stable,400.0,400
2.0,Stable,200.0,500
2.5,Stable,400.0,700
3.0,Stable,200.0,800
3.5,Stable,400.0,1000
4.0,Stable,200.0,1100
4.5,Stable,400.0,1300
5.0,Stable,200.0,1400
5.5,Stable,400.0,1600
6.0,Stable,200.0,1700
6.5,Stable,400.0,1900
7.0,Stable,200.0,2000
7.5,Stable,400.0,2200
8.0,Stable,200.0,2300
8.5,Stable,400.0,2500
9.0,Stable,200.0,2600
9.5,Stable,400.0,2800
10.0,Stable,200.0,2900
10.5,Stable,400.0,3100
11.0,Stable,200.0,3200
11.5,Stable,400.0,3400
12.0,Stable,200.0,3500
12.5,Stable,400.0,3700
13.0,Stable,200.0,3800
13.5,Stable,200.0,3900
14.0,Stable,400.0,4100
14.5,Stable,200.0,4200
15.0,Stable,200.0,4300
15.5,Stable,200.0,4400
16.0,PreparingRebalance,0.0,4400
16.5,Stable,800.0,4800
17.0,Stable,400.0,5000
17.5,Stable,200.0,5100
18.0,Stable,400.0,5300
18.5,Stable,200.0,5400
19.0,Stable,400.0,5600
19.5,Stable,200.0,5700
20.0,Stable,400.0,5900
20.5,Stable,200.0,6000
21.0,Stable,400.0,6200
21.5,Stable,200.0,6300
22.0,Stable,200.0,6400
22.5,Stable,400.0,6600
23.0,Stable,200.0,6700
23.5,Stable,400.0,6900
24.0,Stable,200.0,7000
24.5,Stable,200.0,7100
25.0,Stable,400.0,7300
25.5,Stable,200.0,7400
26.0,Stable,400.0,7600
26.5,Stable,400.0,7800
27.0,Stable,200.0,7900
27.5,Stable,400.0,8100
28.0,Stable,200.0,8200
