p,N,opt_us,pes_us,winner
0.010,2,101.0,300.0,opt
0.010,5,101.0,600.0,opt
0.010,10,101.0,1100.0,opt
0.010,20,101.0,2100.0,opt
0.010,50,101.0,5100.0,opt
0.010,100,101.0,10100.0,opt
0.050,2,105.3,300.0,opt
0.050,5,105.3,600.0,opt
0.050,10,105.3,1100.0,opt
0.050,20,105.3,2100.0,opt
0.050,50,105.3,5100.0,opt
0.050,100,105.3,10100.0,opt
0.100,2,111.1,300.0,opt
0.100,5,111.1,600.0,opt
0.100,10,111.1,1100.0,opt
0.100,20,111.1,2100.0,opt
0.100,50,111.1,5100.0,opt
0.100,100,111.1,10100.0,opt
0.200,2,125.0,300.0,opt
0.200,5,125.0,600.0,opt
0.200,10,125.0,1100.0,opt
0.200,20,125.0,2100.0,opt
0.200,50,125.0,5100.0,opt
0.200,100,125.0,10100.0,opt
0.300,2,142.9,300.0,opt
0.300,5,142.9,600.0,opt
0.300,10,142.9,1100.0,opt
0.300,20,142.9,2100.0,opt
0.300,50,142.9,5100.0,opt
0.300,100,142.9,10100.0,opt
0.500,2,200.0,300.0,opt
0.500,5,200.0,600.0,opt
0.500,10,200.0,1100.0,opt
0.500,20,200.0,2100.0,opt
0.500,50,200.0,5100.0,opt
0.500,100,200.0,10100.0,opt
0.700,2,333.3,300.0,pes
0.700,5,333.3,600.0,opt
0.700,10,333.3,1100.0,opt
0.700,20,333.3,2100.0,opt
0.700,50,333.3,5100.0,opt
0.700,100,333.3,10100.0,opt
0.900,2,1000.0,300.0,pes
0.900,5,1000.0,600.0,pes
0.900,10,1000.0,1100.0,opt
0.900,20,1000.0,2100.0,opt
0.900,50,1000.0,5100.0,opt
0.900,100,1000.0,10100.0,opt
0.950,2,2000.0,300.0,pes
0.950,5,2000.0,600.0,pes
0.950,10,2000.0,1100.0,pes
0.950,20,2000.0,2100.0,opt
0.950,50,2000.0,5100.0,opt
0.950,100,2000.0,10100.0,opt
