# 扫 T：num=300000 writes=400000 mem=6000 bloom m/n=10 k=7
# bloom 假阳性率按公式 p=(1-e^{-k/(m/n)})^k = 0.82%
# T,pol,levs,wa,sa,ra_present_nobloom,ra_present_bloom,ra_absent_nobloom,ra_absent_bloom
2,leveled,7,8.09,1.26,3.9,1.02,4.0,0.03
2,sizetiered,7,6.42,1.26,2.9,1.02,3.0,0.02
4,leveled,4,5.25,1.29,4.6,1.03,5.0,0.04
4,sizetiered,4,3.62,1.27,3.9,1.02,4.0,0.03
8,leveled,3,5.38,1.19,4.8,1.03,5.0,0.04
8,sizetiered,3,2.69,1.27,3.9,1.02,4.0,0.03
12,leveled,3,5.52,1.25,3.9,1.02,4.0,0.03
12,sizetiered,2,1.88,1.31,9.2,1.07,12.0,0.10
20,leveled,3,5.13,1.29,4.6,1.03,5.0,0.04
20,sizetiered,2,1.86,1.28,8.4,1.06,10.0,0.08
30,leveled,3,5.60,1.21,4.4,1.03,5.0,0.04
30,sizetiered,3,1.83,1.24,7.9,1.06,9.0,0.07
40,leveled,3,6.42,1.27,4.5,1.03,5.0,0.04
40,sizetiered,2,1.60,1.33,21.7,1.16,28.0,0.23
60,leveled,2,8.68,1.08,3.9,1.02,4.0,0.03
60,sizetiered,2,1.75,1.20,7.5,1.05,8.0,0.06
