algo,m,ef_construction,ef_search,nlist,nprobe,recall,qps,index_bytes,build_s
flat,0,0,0,0,0,1.0,24642.427290916516,25600045,0.0
hnsw,8,200,32,0,0,0.2832,89515.49737048699,29859188,3.529643625
hnsw,8,200,64,0,0,0.3932,56172.15101590604,29859188,3.68536325
hnsw,8,200,128,0,0,0.5364,26507.151576480883,29859188,3.6054347920000005
hnsw,8,200,256,0,0,0.6706,14890.258792698003,29859188,3.5969599579999993
hnsw,16,200,32,0,0,0.419,54725.79694167877,33032520,6.622253292
hnsw,16,200,64,0,0,0.5762,30861.656206832184,33032520,6.459095875000003
hnsw,16,200,128,0,0,0.7414,16287.241796320539,33032520,6.641839334
hnsw,16,200,256,0,0,0.8598,7519.555506441502,33032520,6.545634124999999
hnsw,32,200,32,0,0,0.5692,27458.823709021573,39417632,11.798670291999997
hnsw,32,200,64,0,0,0.7406,12876.628175593154,39417632,12.933445292000002
hnsw,32,200,128,0,0,0.8714,8213.282520493389,39417632,12.467925249999993
hnsw,32,200,256,0,0,0.9512,4691.456598565981,39417632,12.340177083
ivfpq,8,0,0,1000,1,0.0136,328875.3187619737,1451252,2.8974742919999983
ivfpq,8,0,0,1000,2,0.0212,272504.2156412289,1451252,2.697305916000005
ivfpq,8,0,0,1000,4,0.0286,262111.79277585124,1451252,2.746425833999993
ivfpq,8,0,0,1000,8,0.0366,288829.51837573154,1451252,2.6935563340000073
ivfpq,8,0,0,1000,16,0.039,211606.6232870516,1451252,2.6617711250000013
ivfpq,8,0,0,1000,32,0.0472,180104.43896250133,1451252,2.654555791000007
ivfpq,8,0,0,1000,64,0.054,103254.22201368409,1451252,2.6329617079999963
ivfpq,8,0,0,1000,128,0.0584,56865.83926871752,1451252,2.765432290999996
ivfpq,8,0,0,1000,256,0.0626,25228.157146193487,1451252,2.6623074590000044
